Year,Інфекційні захворювання,Вік,Область,Value
2016,"Кір, паротит, краснуха",1 рік,Донецька,74.2
2016,"Кір, паротит, краснуха",6 років,Донецька,78.6
2016,Гепатит В,до 1 року,Донецька,39.9
2016,Туберкульоз,до 1 року,Житомирська,75.4
2016,Поліомієліт,до 1 року,Житомирська,69.3
2016,Поліомієліт,18 місяців,Житомирська,63.4
2016,Поліомієліт,6 років,Житомирська,85.0
2016,Поліомієліт,14 років,Житомирська,92.2
2016,"Дифтерія, правець",до 1 року,Житомирська,26.0
2016,Кашлюк,до 1 року,Житомирська,26.0
2016,"Дифтерія, правець",18 місяців,Житомирська,18.4
2016,Кашлюк,18 місяців,Житомирська,18.4
2016,"Дифтерія, правець",6 років,Житомирська,62.2
2016,"Дифтерія, правець",дорослі,Житомирська,14.3
2016,"Кір, паротит, краснуха",1 рік,Житомирська,42.3
2016,"Кір, паротит, краснуха",6 років,Житомирська,23.7
2016,Гепатит В,до 1 року,Житомирська,41.9
2016,Туберкульоз,до 1 року,Закарпатська,68.8
2016,Поліомієліт,до 1 року,Закарпатська,42.9
2016,Поліомієліт,18 місяців,Закарпатська,52.3
2016,Поліомієліт,6 років,Закарпатська,86.5
2016,Поліомієліт,14 років,Закарпатська,75.3
2016,"Дифтерія, правець",до 1 року,Закарпатська,8.8
2016,Кашлюк,до 1 року,Закарпатська,8.8
2016,"Дифтерія, правець",18 місяців,Закарпатська,8.5
2016,Кашлюк,18 місяців,Закарпатська,8.5
2016,"Дифтерія, правець",6 років,Закарпатська,60.9
2016,"Дифтерія, правець",дорослі,Закарпатська,3.7
2016,"Кір, паротит, краснуха",1 рік,Закарпатська,33.6
2016,"Кір, паротит, краснуха",6 років,Закарпатська,25.5
2016,Гепатит В,до 1 року,Закарпатська,17.8
2016,Туберкульоз,до 1 року,Запорізька,75.5
2016,Поліомієліт,до 1 року,Запорізька,42.7
2016,Поліомієліт,18 місяців,Запорізька,28.2
2016,Поліомієліт,6 років,Запорізька,63.8
2016,Поліомієліт,14 років,Запорізька,68.7
2016,"Дифтерія, правець",до 1 року,Запорізька,16.5
2016,Кашлюк,до 1 року,Запорізька,16.5
2016,"Дифтерія, правець",18 місяців,Запорізька,14.0
2016,Кашлюк,18 місяців,Запорізька,14.0
2016,"Дифтерія, правець",6 років,Запорізька,46.3
2016,"Дифтерія, правець",дорослі,Запорізька,8.9
2016,"Кір, паротит, краснуха",1 рік,Запорізька,48.2
2016,"Кір, паротит, краснуха",6 років,Запорізька,22.8
2016,Гепатит В,до 1 року,Запорізька,22.5
2016,Туберкульоз,до 1 року,Івано-Франківська,57.9
2016,Поліомієліт,до 1 року,Івано-Франківська,49.4
2016,Поліомієліт,18 місяців,Івано-Франківська,50.8
2016,Поліомієліт,6 років,Івано-Франківська,60.7
2016,Поліомієліт,14 років,Івано-Франківська,58.9
2016,"Дифтерія, правець",до 1 року,Івано-Франківська,14.6
2016,Кашлюк,до 1 року,Івано-Франківська,14.6
2016,"Дифтерія, правець",18 місяців,Івано-Франківська,17.8
2016,Кашлюк,18 місяців,Івано-Франківська,17.8
2016,"Дифтерія, правець",6 років,Івано-Франківська,56.6
2016,"Дифтерія, правець",дорослі,Івано-Франківська,10.8
2016,"Кір, паротит, краснуха",1 рік,Івано-Франківська,58.8
2016,"Кір, паротит, краснуха",6 років,Івано-Франківська,41.1
2016,Гепатит В,до 1 року,Івано-Франківська,29.4
2016,Туберкульоз,до 1 року,Кіровоградська,81.2
2016,Поліомієліт,до 1 року,Кіровоградська,79.3
2016,Поліомієліт,18 місяців,Кіровоградська,79.0
2016,Поліомієліт,6 років,Кіровоградська,92.8
2016,Поліомієліт,14 років,Кіровоградська,90.8
2016,"Дифтерія, правець",до 1 року,Кіровоградська,60.8
2016,Кашлюк,до 1 року,Кіровоградська,60.8
2016,"Дифтерія, правець",18 місяців,Кіровоградська,58.7
2016,Кашлюк,18 місяців,Кіровоградська,58.7
2016,"Дифтерія, правець",6 років,Кіровоградська,81.6
2016,"Дифтерія, правець",дорослі,Кіровоградська,31.6
2016,"Кір, паротит, краснуха",1 рік,Кіровоградська,45.9
2016,"Кір, паротит, краснуха",6 років,Кіровоградська,11.4
2016,Гепатит В,до 1 року,Кіровоградська,42.1
2016,Туберкульоз,до 1 року,Луганська,72.1
2016,Поліомієліт,до 1 року,Луганська,70.6
2016,Поліомієліт,18 місяців,Луганська,90.2
2016,Поліомієліт,6 років,Луганська,100.0
2016,Поліомієліт,14 років,Луганська,100.0
2016,"Дифтерія, правець",до 1 року,Луганська,58.4
2016,Кашлюк,до 1 року,Луганська,58.4
2016,"Дифтерія, правець",18 місяців,Луганська,43.6
2016,Кашлюк,18 місяців,Луганська,43.6
2016,"Дифтерія, правець",6 років,Луганська,43.5
2016,"Дифтерія, правець",дорослі,Луганська,17.6
2016,"Кір, паротит, краснуха",1 рік,Луганська,94.3
2016,"Кір, паротит, краснуха",6 років,Луганська,85.4
2016,Гепатит В,до 1 року,Луганська,58.4
2016,Туберкульоз,до 1 року,Львівська,50.1
2016,Поліомієліт,до 1 року,Львівська,47.4
2016,Поліомієліт,18 місяців,Львівська,58.5
2016,Поліомієліт,6 років,Львівська,81.1
2016,Поліомієліт,14 років,Львівська,72.9
2016,"Дифтерія, правець",до 1 року,Львівська,19.4
2016,Кашлюк,до 1 року,Львівська,19.4
2016,"Дифтерія, правець",18 місяців,Львівська,21.8
2016,Кашлюк,18 місяців,Львівська,21.8
2016,"Дифтерія, правець",6 років,Львівська,55.7
2016,"Дифтерія, правець",дорослі,Львівська,19.6
2016,"Кір, паротит, краснуха",1 рік,Львівська,35.4
2016,"Кір, паротит, краснуха",6 років,Львівська,30.9
2016,Гепатит В,до 1 року,Львівська,25.0
2016,Туберкульоз,до 1 року,Миколаївська,85.3
2016,Поліомієліт,до 1 року,Миколаївська,56.6
2016,Поліомієліт,18 місяців,Миколаївська,61.4
2016,Поліомієліт,6 років,Миколаївська,82.5
2016,Поліомієліт,14 років,Миколаївська,88.0
2016,"Дифтерія, правець",до 1 року,Миколаївська,23.0
2016,Кашлюк,до 1 року,Миколаївська,23.0
2016,"Дифтерія, правець",18 місяців,Миколаївська,42.7
2016,Кашлюк,18 місяців,Миколаївська,42.7
2016,"Дифтерія, правець",6 років,Миколаївська,69.7
2016,"Дифтерія, правець",дорослі,Миколаївська,31.5
2016,"Кір, паротит, краснуха",1 рік,Миколаївська,50.6
2016,"Кір, паротит, краснуха",6 років,Миколаївська,24.7
2016,Гепатит В,до 1 року,Миколаївська,35.2
2016,Туберкульоз,до 1 року,Одеська,79.3
2016,Поліомієліт,до 1 року,Одеська,45.9
