Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2024,manufacture of sugar,,,,9.1
2015,"manufacture of cocoa, chocolate and sugar confectionery",,,,
2016,"manufacture of cocoa, chocolate and sugar confectionery",,,,
2017,"manufacture of cocoa, chocolate and sugar confectionery",,,,
2018,"manufacture of cocoa, chocolate and sugar confectionery",,,,
2019,"manufacture of cocoa, chocolate and sugar confectionery",,,,
2020,"manufacture of cocoa, chocolate and sugar confectionery",,,,
2021,"manufacture of cocoa, chocolate and sugar confectionery",,,,31.7
2022,"manufacture of cocoa, chocolate and sugar confectionery",,,,28.2
2023,"manufacture of cocoa, chocolate and sugar confectionery",,,,30.5
2024,"manufacture of cocoa, chocolate and sugar confectionery",,,,39.3
2015,processing of tea and coffee,,,,
2016,processing of tea and coffee,,,,
2017,processing of tea and coffee,,,,
2018,processing of tea and coffee,,,,
2019,processing of tea and coffee,,,,
2020,processing of tea and coffee,,,,
2021,processing of tea and coffee,,,,17.4
2022,processing of tea and coffee,,,,19.7
2023,processing of tea and coffee,,,,19.8
2024,processing of tea and coffee,,,,28.1
2015,manufacture of condiments and seasonings,,,,
2016,manufacture of condiments and seasonings,,,,
2017,manufacture of condiments and seasonings,,,,
2018,manufacture of condiments and seasonings,,,,
2019,manufacture of condiments and seasonings,,,,
2020,manufacture of condiments and seasonings,,,,
2021,manufacture of condiments and seasonings,,,,27.7
2022,manufacture of condiments and seasonings,,,,25.5
2023,manufacture of condiments and seasonings,,,,24.1
2024,manufacture of condiments and seasonings,,,,24.6
2015,manufacture of prepared meals and dishes,,,,
2016,manufacture of prepared meals and dishes,,,,
2017,manufacture of prepared meals and dishes,,,,
2018,manufacture of prepared meals and dishes,,,,
2019,manufacture of prepared meals and dishes,,,,
2020,manufacture of prepared meals and dishes,,,,
2021,manufacture of prepared meals and dishes,,,,36.2
2022,manufacture of prepared meals and dishes,,,,36.5
2023,manufacture of prepared meals and dishes,,,,34.9
2024,manufacture of prepared meals and dishes,,,,37.4
2015,manufacture of homogenised food preparations and dietetic food,,,,
2016,manufacture of homogenised food preparations and dietetic food,,,,
2017,manufacture of homogenised food preparations and dietetic food,,,,
2018,manufacture of homogenised food preparations and dietetic food,,,,
2019,manufacture of homogenised food preparations and dietetic food,,,,
2020,manufacture of homogenised food preparations and dietetic food,,,,
2021,manufacture of homogenised food preparations and dietetic food,,,,29.0
2022,manufacture of homogenised food preparations and dietetic food,,,,26.7
2023,manufacture of homogenised food preparations and dietetic food,,,,23.5
2024,manufacture of homogenised food preparations and dietetic food,,,,22.2
2015,manufacture of other food products n.e.c.,,,,
2016,manufacture of other food products n.e.c.,,,,
2017,manufacture of other food products n.e.c.,,,,
2018,manufacture of other food products n.e.c.,,,,
2019,manufacture of other food products n.e.c.,,,,
2020,manufacture of other food products n.e.c.,,,,
2021,manufacture of other food products n.e.c.,,,,25.2
2022,manufacture of other food products n.e.c.,,,,25.3
2023,manufacture of other food products n.e.c.,,,,24.6
2024,manufacture of other food products n.e.c.,,,,26.9
2015,manufacture of prepared feeds for farm animals,,,,
2016,manufacture of prepared feeds for farm animals,,,,
2017,manufacture of prepared feeds for farm animals,,,,
2018,manufacture of prepared feeds for farm animals,,,,
2019,manufacture of prepared feeds for farm animals,,,,
2020,manufacture of prepared feeds for farm animals,,,,
2021,manufacture of prepared feeds for farm animals,,,,19.7
2022,manufacture of prepared feeds for farm animals,,,,19.3
2023,manufacture of prepared feeds for farm animals,,,,22.2
2024,manufacture of prepared feeds for farm animals,,,,27.5
2015,manufacture of prepared pet foods,,,,
2016,manufacture of prepared pet foods,,,,
2017,manufacture of prepared pet foods,,,,
2018,manufacture of prepared pet foods,,,,
2019,manufacture of prepared pet foods,,,,
2020,manufacture of prepared pet foods,,,,
2021,manufacture of prepared pet foods,,,,25.7
2022,manufacture of prepared pet foods,,,,24.2
2023,manufacture of prepared pet foods,,,,25.0
2024,manufacture of prepared pet foods,,,,29.4
2015,"distilling, rectifying and blending of spirits",,,,
2016,"distilling, rectifying and blending of spirits",,,,
2017,"distilling, rectifying and blending of spirits",,,,
2018,"distilling, rectifying and blending of spirits",,,,
2019,"distilling, rectifying and blending of spirits",,,,
2020,"distilling, rectifying and blending of spirits",,,,
2021,"distilling, rectifying and blending of spirits",,,,19.8
2022,"distilling, rectifying and blending of spirits",,,,17.6
2023,"distilling, rectifying and blending of spirits",,,,18.1
2024,"distilling, rectifying and blending of spirits",,,,16.2
2015,manufacture of wine from grape,,,,
2016,manufacture of wine from grape,,,,
2017,manufacture of wine from grape,,,,
2018,manufacture of wine from grape,,,,
2019,manufacture of wine from grape,,,,
2020,manufacture of wine from grape,,,,
2021,manufacture of wine from grape,,,,15.7
2022,manufacture of wine from grape,,,,17.4
2023,manufacture of wine from grape,,,,16.9
2024,manufacture of wine from grape,,,,11.8
2015,manufacture of cider and other fruit wines,,,,
2016,manufacture of cider and other fruit wines,,,,
2017,manufacture of cider and other fruit wines,,,,
2018,manufacture of cider and other fruit wines,,,,
2019,manufacture of cider and other fruit wines,,,,
2020,manufacture of cider and other fruit wines,,,,
2021,manufacture of cider and other fruit wines,,,,
2022,manufacture of cider and other fruit wines,,,,4.8
2023,manufacture of cider and other fruit wines,,,,13.0
2024,manufacture of cider and other fruit wines,,,,12.0
2015,manufacture of other non-distilled fermented beverages,,,,
2016,manufacture of other non-distilled fermented beverages,,,,
2017,manufacture of other non-distilled fermented beverages,,,,
2018,manufacture of other non-distilled fermented beverages,,,,
2019,manufacture of other non-distilled fermented beverages,,,,
2020,manufacture of other non-distilled fermented beverages,,,,
2021,manufacture of other non-distilled fermented beverages,,,,50.0
2022,manufacture of other non-distilled fermented beverages,,,,50.0
2023,manufacture of other non-distilled fermented beverages,,,,
2024,manufacture of other non-distilled fermented beverages,,,,
2015,manufacture of beer,,,,
2016,manufacture of beer,,,,
2017,manufacture of beer,,,,
2018,manufacture of beer,,,,
2019,manufacture of beer,,,,
2020,manufacture of beer,,,,
2021,manufacture of beer,,,,16.8
2022,manufacture of beer,,,,17.3
2023,manufacture of beer,,,,17.2
2024,manufacture of beer,,,,22.2
2015,manufacture of malt,,,,
2016,manufacture of malt,,,,
2017,manufacture of malt,,,,
2018,manufacture of malt,,,,
2019,manufacture of malt,,,,
2020,manufacture of malt,,,,
2021,manufacture of malt,,,,
2022,manufacture of malt,,,,
2023,manufacture of malt,,,,9.1
2024,manufacture of malt,,,,23.1
2015,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,
2016,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,
2017,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,
2018,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,
2019,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,
2020,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,
2021,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,20.8
2022,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,18.9
2023,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,20.6
2024,manufacture of soft drinks; production of mineral waters and other bottled waters,,,,22.2
2015,manufacture of tobacco products,,,,
2016,manufacture of tobacco products,,,,
2017,manufacture of tobacco products,,,,
2018,manufacture of tobacco products,,,,
2019,manufacture of tobacco products,,,,
2020,manufacture of tobacco products,,,,
2021,manufacture of tobacco products,,,,17.0
2022,manufacture of tobacco products,,,,13.0
2023,manufacture of tobacco products,,,,12.5
2024,manufacture of tobacco products,,,,15.1
2015,preparation and spinning of textile fibres,,,,
2016,preparation and spinning of textile fibres,,,,
2017,preparation and spinning of textile fibres,,,,
2018,preparation and spinning of textile fibres,,,,
2019,preparation and spinning of textile fibres,,,,
2020,preparation and spinning of textile fibres,,,,
2021,preparation and spinning of textile fibres,,,,23.3
2022,preparation and spinning of textile fibres,,,,13.6
2023,preparation and spinning of textile fibres,,,,18.2
2024,preparation and spinning of textile fibres,,,,8.7
2015,weaving of textiles,,,,
2016,weaving of textiles,,,,
2017,weaving of textiles,,,,
2018,weaving of textiles,,,,
2019,weaving of textiles,,,,
2020,weaving of textiles,,,,
2021,weaving of textiles,,,,39.0
2022,weaving of textiles,,,,25.6
2023,weaving of textiles,,,,27.5
2024,weaving of textiles,,,,31.2
2015,finishing of textiles,,,,
2016,finishing of textiles,,,,
2017,finishing of textiles,,,,
2018,finishing of textiles,,,,
2019,finishing of textiles,,,,
2020,finishing of textiles,,,,
2021,finishing of textiles,,,,51.2
2022,finishing of textiles,,,,40.5
2023,finishing of textiles,,,,47.4
2024,finishing of textiles,,,,45.0
2015,manufacture of knitted and crocheted fabrics,,,,
2016,manufacture of knitted and crocheted fabrics,,,,
2017,manufacture of knitted and crocheted fabrics,,,,
2018,manufacture of knitted and crocheted fabrics,,,,
2019,manufacture of knitted and crocheted fabrics,,,,
2020,manufacture of knitted and crocheted fabrics,,,,
2021,manufacture of knitted and crocheted fabrics,,,,36.8
2022,manufacture of knitted and crocheted fabrics,,,,35.7
2023,manufacture of knitted and crocheted fabrics,,,,26.3
2024,manufacture of knitted and crocheted fabrics,,,,41.7
2015,"manufacture of made-up textile articles, except apparel",,,,
2016,"manufacture of made-up textile articles, except apparel",,,,
2017,"manufacture of made-up textile articles, except apparel",,,,
2018,"manufacture of made-up textile articles, except apparel",,,,
2019,"manufacture of made-up textile articles, except apparel",,,,
2020,"manufacture of made-up textile articles, except apparel",,,,
2021,"manufacture of made-up textile articles, except apparel",,,,40.2
2022,"manufacture of made-up textile articles, except apparel",,,,39.8
2023,"manufacture of made-up textile articles, except apparel",,,,37.2
2024,"manufacture of made-up textile articles, except apparel",,,,40.6
2015,manufacture of carpets and rugs,,,,
2016,manufacture of carpets and rugs,,,,
2017,manufacture of carpets and rugs,,,,
2018,manufacture of carpets and rugs,,,,
2019,manufacture of carpets and rugs,,,,
2020,manufacture of carpets and rugs,,,,
2021,manufacture of carpets and rugs,,,,30.8
2022,manufacture of carpets and rugs,,,,36.4
2023,manufacture of carpets and rugs,,,,33.3
2024,manufacture of carpets and rugs,,,,30.0
2015,"manufacture of cordage, rope, twine and netting",,,,
2016,"manufacture of cordage, rope, twine and netting",,,,
2017,"manufacture of cordage, rope, twine and netting",,,,
2018,"manufacture of cordage, rope, twine and netting",,,,
2019,"manufacture of cordage, rope, twine and netting",,,,
2020,"manufacture of cordage, rope, twine and netting",,,,
2021,"manufacture of cordage, rope, twine and netting",,,,29.2
2022,"manufacture of cordage, rope, twine and netting",,,,36.6
2023,"manufacture of cordage, rope, twine and netting",,,,36.8
2024,"manufacture of cordage, rope, twine and netting",,,,35.0
2015,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,
2016,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,
2017,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,
2018,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,
2019,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,
2020,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,
2021,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,31.5
2022,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,29.2
2023,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,30.3
2024,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,,31.7
2015,manufacture of other technical and industrial textiles,,,,
2016,manufacture of other technical and industrial textiles,,,,
2017,manufacture of other technical and industrial textiles,,,,
2018,manufacture of other technical and industrial textiles,,,,
2019,manufacture of other technical and industrial textiles,,,,
2020,manufacture of other technical and industrial textiles,,,,
2021,manufacture of other technical and industrial textiles,,,,31.5
2022,manufacture of other technical and industrial textiles,,,,23.9
